#GEO Sample Accession # = 
#Patient ID = 
#Affy platform = 
GEO Sample Accession #	Patient ID	Affy platform
GSM79511	X257C87	HG-U133B
GSM79512	X258C21	HG-U133B
GSM79513	X259C74	HG-U133B
GSM79514	X260C91	HG-U133B
GSM79515	X261C94	HG-U133B
GSM79516	X262C85	HG-U133B
GSM79517	X263C82	HG-U133B
GSM79518	X265C40	HG-U133B
GSM79519	X266C51	HG-U133B
GSM79520	X267C04	HG-U133B
GSM79521	X268C87	HG-U133B
GSM79522	X269C68	HG-U133B
GSM79523	X26C23	HG-U133B
GSM79524	X270C93	HG-U133B
GSM79525	X271C71	HG-U133B
GSM79526	X272C88	HG-U133B
GSM79527	X274C81	HG-U133B
GSM79528	X275C70	HG-U133B
GSM79529	X277C64	HG-U133B
GSM79530	X278C80	HG-U133B
GSM79531	X279C61	HG-U133B
GSM79532	X27C82	HG-U133B
GSM79533	X280C43	HG-U133B
GSM79534	X282C51	HG-U133B
GSM79535	X283C22	HG-U133B
GSM79536	X284C63	HG-U133B
GSM79537	X286C91	HG-U133B
GSM79538	X287C67	HG-U133B
GSM79539	X288C57	HG-U133B
GSM79540	X289C75	HG-U133B
GSM79541	X28C76	HG-U133B
GSM79542	X290C91	HG-U133B
GSM79543	X291C17	HG-U133B
GSM79544	X292C66	HG-U133B
GSM79545	X294C04	HG-U133B
GSM79546	X296C95	HG-U133B
GSM79547	X297C26	HG-U133B
GSM79548	X298C47	HG-U133B
GSM79549	X301C66	HG-U133B
GSM79550	X303C36	HG-U133B
GSM79551	X304C89	HG-U133B
GSM79552	X307C50	HG-U133B
GSM79553	X308C93	HG-U133B
GSM79554	X309C49	HG-U133B
GSM79555	X311A27	HG-U133B
GSM79556	X313A87	HG-U133B
GSM79557	X314B55	HG-U133B
GSM79558	X315C75	HG-U133B
GSM79559	X316C65	HG-U133B
GSM79560	X33C30	HG-U133B
GSM79561	X34C80	HG-U133B
GSM79562	X35C29	HG-U133B
GSM79563	X36C17	HG-U133B
GSM79564	X37C06	HG-U133B
GSM79565	X39C24	HG-U133B
GSM79566	X40C57	HG-U133B
GSM79567	X41C65	HG-U133B
GSM79568	X42C57	HG-U133B
GSM79569	X43C47	HG-U133B
GSM79570	X44A53	HG-U133B
GSM79571	X45A96	HG-U133B
GSM79572	X46A25	HG-U133B
GSM79573	X47A87	HG-U133B
GSM79574	X48A46	HG-U133B
GSM79575	X49A07	HG-U133B
GSM79576	X50A91	HG-U133B
GSM79577	X51A98	HG-U133B
GSM79578	X52A90	HG-U133B
GSM79579	X53A06	HG-U133B
GSM79580	X54A09	HG-U133B
GSM79581	X55A79	HG-U133B
GSM79582	X56A94	HG-U133B
GSM79583	X58A50	HG-U133B
GSM79584	X5B97	HG-U133B
